race_id,date,year,meet,meet_name,rc_no,rc_name,classification,odds_present,sales_present
20200809-1-04,2020-08-09,2020,1,Seoul,4,일반,API179 sales source gap,"WIN,PLC,QNL",
20200809-1-05,2020-08-09,2020,1,Seoul,5,일반,API179 sales source gap,"WIN,PLC,QNL",
20200809-1-06,2020-08-09,2020,1,Seoul,6,일반,API179 sales source gap,"WIN,PLC,QNL",
20200809-1-07,2020-08-09,2020,1,Seoul,7,일반,API179 sales source gap,"WIN,PLC,QNL",
20200809-1-08,2020-08-09,2020,1,Seoul,8,일반,API179 sales source gap,"WIN,PLC,QNL",
20200809-1-09,2020-08-09,2020,1,Seoul,9,일반,API179 sales source gap,"WIN,PLC,QNL",
20200809-1-10,2020-08-09,2020,1,Seoul,10,일반,API179 sales source gap,"WIN,PLC,QNL",
20200809-1-11,2020-08-09,2020,1,Seoul,11,일반,API179 sales source gap,"WIN,PLC,QNL",
20200809-1-12,2020-08-09,2020,1,Seoul,12,일반,API179 sales source gap,"WIN,PLC,QNL",
20200822-2-01,2020-08-22,2020,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL",
20200822-2-02,2020-08-22,2020,2,Jeju,2,일반,API179 sales source gap,"WIN,PLC,QNL",
20200822-2-03,2020-08-22,2020,2,Jeju,3,일반,API179 sales source gap,"WIN,PLC,QNL",
20201220-1-01,2020-12-20,2020,1,Seoul,1,일반,API179 sales source gap,"WIN,PLC,QNL",
20201220-1-02,2020-12-20,2020,1,Seoul,2,일반,API179 sales source gap,"WIN,PLC,QNL",
20201220-1-03,2020-12-20,2020,1,Seoul,3,일반,API179 sales source gap,"WIN,PLC,QNL",
20201220-1-04,2020-12-20,2020,1,Seoul,4,일반,API179 sales source gap,"WIN,PLC,QNL",
20201220-1-05,2020-12-20,2020,1,Seoul,5,일반,API179 sales source gap,"WIN,PLC,QNL",
20201220-1-06,2020-12-20,2020,1,Seoul,6,일반,API179 sales source gap,"WIN,PLC,QNL",
20201220-1-07,2020-12-20,2020,1,Seoul,7,일반,API179 sales source gap,"WIN,PLC,QNL",
20201220-1-08,2020-12-20,2020,1,Seoul,8,일반,API179 sales source gap,"WIN,PLC,QNL",
20201220-1-09,2020-12-20,2020,1,Seoul,9,일반,API179 sales source gap,"WIN,PLC,QNL",
20201220-1-10,2020-12-20,2020,1,Seoul,10,일반,API179 sales source gap,"WIN,PLC,QNL",
20210312-2-01,2021-03-12,2021,2,Jeju,1,일반,API179 sales source gap,"WIN,PLC,QNL",
